Qty,Reference,Vendor Part Number
15,J2 J5 J7,277-1583-ND
5,J6,277-1591-ND
5,J1,WM1896TR-ND
5,J4,1720430202-ND
20,F2-5,507-1797-1-ND
5,J3,609-4724-ND
40,D4-11,1N4148WS-FDICT-ND
5,U3,785-1644-1-ND
40,Q5-12,BSS123NCT-ND
40,Q13-20,BTS6133DCT-ND
500,C1 C5-6 C8-10 C16-18 C27-34 C44 C46-47,490-10697-1-ND
100,C19-26,490-6316-1-ND
100,C2-4 C7 C11,490-10024-1-ND
100,C12 C14 C35 C45,490-5961-1-ND
25,C13 C15,490-5528-1-ND
100,C36-43,490-6544-1-ND
40,T1-8,240-2502-1-ND
50,R57-64,CSRF1206FT5L00TR-ND
15,SW1-3,450-1140-ND
5,F1,F5187-ND
5,U13,296-12602-1-ND
40,U5-12,296-40129-1-ND
20,Q21-24,IRF7509CT-ND
25,D1-3,754-1121-1-ND
10,U4 U14,296-9545-1-ND
100,R6 R9 R15 R18 R30 R36 R77 R82 R85-92,P100KLCT-ND
200,R1-5 R7-8 R10 R13-14 R16-17 R20 R25 R29 R32 R35 R38 R75 R78 R81 R84,P10.0KLCT-ND
100,R21-23,P120JCT-ND
100,R41-56,P0.0JCT-ND
100,R27 R33 R65 R79,P17252CT-ND
100,R31 R37 R39 R76 R83,P1.00KLCT-ND
100,R28 R34 R74 R80,P4.22KLCT-ND
100,R19,P40.2KLCT-ND
100,R26,P402KLCT-ND
100,R66-73,P499LCT-ND
25,R24,P53.6KLCT-ND
25,R40,P6.98KLCT-ND
25,R11,P8.20KLCT-ND
25,R12,P91.0KLCT-ND
5,L1,SRR1210-100MCT-ND
25,Q1-4,MMBT3904FSCT-ND
5,U1,296-25417-1-ND
