QTY,REF-DES,Description,MFR:,MFR_PN:,LED Group,Vendor_PN:
4,J1-2 J4-5,CONN SSL RECEPTACLE 1POS SOLDER,Molex,1041880110,,WM10424CT-ND
1,J3,IDC BOX HEADER 0.050 10 POS,CNC Tech,3220-10-0300-00,,
1,X1,CRYSTAL 12MHZ 10PF SMD,Abracon,ABM8G-12.000MHZ-4Y-T3,,535-10901-1-ND
12,D60 D71 D82 D133 D138 D145 D156-157 D172 D213 D226 D241,DIODE SCHOTTKY 60V 3A SMA,Diodes Inc.,B360A-13-F,,B360A-FDICT-ND
4,C11 C15-17,CAP CER 0.1UF 50V 10% X5R 0402,Murata,GRM155R61H104KE14D,,490-10697-1-ND
1,C10,CAP CER 10000PF 25V 10% X7R 0402,Murata,GRM155R71E103KA01D,,490-1312-1-ND
2,C18-19,CAP CER 10PF 50V 5% 0402,Murata,GRM1555C1H100JA01D,,490-5921-1-ND
2,C14 C20,,Murata,GRM155R70J105KA12D,,490-10024-1-ND
12,C3 C5 C7 C21 C23 C25 C27 C29 C31 C33 C35 C37,CAP CER 2.2UF 10V 10% X5R 0603,Murata,GRM188R61A225KE34D,,490-1545-1-ND
2,C12-13,CAP CER 10UF 25V 10% X5R 0805,Murata,GRM21BR61E106KA73L,,490-5523-1-ND
12,C4 C6 C8 C22 C24 C26 C28 C30 C32 C34 C36 C38,CAP CER 10UF 35V 10% X5R 0805,Murata,GRM21BR6YA106KE43L,,490-10514-1-ND
3,C1-2 C9,CAP CER 10UF 35V 10% X5R 1206,Murata,GRM31CR6YA106KA12L,,490-5524-1-ND
1,FB1,,Murata,BLM18KG471SN1D,,490-5257-1-ND
1,U6,IC RCVR ESD RS485/422 LP SOT23-6,Intersil,ISL3283EIHZ-T,,ISL3283EIHZ-TCT-ND
24,D6 D18 D33 D45 D57 D70 D84 D96 D109 D121 D134 D148 D162 D175 D187 D199 D211 D224 D237 D250 D262 D274 D286 D298,High Power LEDs - Single Color PC Amber, 588-592nm,Luxeon,L135-A589003500000,12,997-L135-G5250035
24,D25 D167 D89 D180 D50 D192 D102 D204 D11 D217 D114 D230 D63 D243 D126 D255 D38 D267 D140 D279 D76 D291 D153 D303,High Power LEDs - Single Color PC Amber, 588-592nm,Luxeon,L135-A589003500000,6,997-L135-A5890035
24,D2 D14 D28 D41 D53 D66 D79 D92 D105 D117 D129 D143 D158 D170 D183 D195 D207 D220 D233 D246 D258 D270 D282 D294,High Power LEDs - Single Color Green 520nm-540nm,Luxeon,L135-G525003500000,10,997-L135-A5890035
24,D21 D163 D85 D176 D46 D188 D97 D200 D7 D212 D110 D225 D58 D238 D122 D251 D34 D263 D135 D275 D72 D287 D149 D299,High Power LEDs - Single Color Green 520nm-540nm,Luxeon,L135-G525003500000,4,997-L135-G5250035
24,D5 D17 D32 D44 D56 D69 D83 D95 D108 D120 D132 D147 D161 D174 D186 D198 D210 D223 D236 D249 D261 D273 D285 D297,High Power LEDs - Single Color Red 620nm-630nm,Luxeon,L135-R625003500000,3,997-L135-R6250035
24,D26 D168 D90 D181 D51 D193 D103 D205 D12 D218 D115 D231 D64 D244 D127 D256 D39 D268 D141 D280 D77 D292 D154 D304,High Power LEDs - Single Color Red 620nm-630nm,Luxeon,L135-R625003500000,9,897-MXA9-PW27-H001
24,D4 D16 D31 D43 D55 D68 D81 D94 D107 D119 D131 D146 D160 D173 D185 D197 D209 D222 D235 D248 D260 D272 D284 D296,High Power LEDs - Single Color Royal Blue 445-455nm,Luxeon,L135-U450003500000,11,997-L135-U4500035
24,D23 D165 D87 D178 D48 D190 D99 D202 D9 D215 D112 D228 D61 D240 D124 D253 D36 D265 D137 D277 D74 D289 D151 D301,High Power LEDs - Single Color Royal Blue 445-455nm,Luxeon,L135-U450003500000,5,997-L135-U4500035
1,U5,SENSOR TEMP I2C/SMBUS 8DFN,Microchip,MCP9808T-E/MC,,
1,U7,IC MCU 32BIT 64KB FLASH 32QFN,NXP,MKV11Z64VFM7,,
2,D19-20,Zener Diode 13V 300mW ±6% Surface Mount SOD-323,On Semi,MM3Z13VT1G,,MM3Z13VT1GOSCT-ND
1,U4,Voltage Regulators - Switching Regulators 1A 24V 1.4MHz Non-sync Buck,MPS,MP2360DG-LF-P,,946-MP2360DGLFP
24,D1 D13 D27 D40 D52 D65 D78 D91 D104 D116 D128 D142 D155 D169 D182 D194 D206 D219 D232 D245 D257 D269 D281 D293,High Power LEDs - White Warm White 2700K,Luxeon,MXA9-PW27-H001,1,897-MXA9-PW27-H001
24,D22 D164 D86 D177 D47 D189 D98 D201 D8 D214 D111 D227 D59 D239 D123 D252 D35 D264 D136 D276 D73 D288 D150 D300,High Power LEDs - White Warm White 2700K,Luxeon,MXA9-PW27-H001,7,997-L135-R6250035
24,D3 D15 D29 D42 D54 D67 D80 D93 D106 D118 D130 D144 D159 D171 D184 D196 D208 D221 D234 D247 D259 D271 D283 D295,High Power LEDs - White Cool White 6500K 90 CRI,Luxeon,MXA9-PW65-H001,2,997-MXA9-PW65-H001
24,D24 D166 D88 D179 D49 D191 D101 D203 D10 D216 D113 D229 D62 D242 D125 D254 D37 D266 D139 D278 D75 D290 D152 D302,High Power LEDs - White Cool White 6500K 90 CRI,Luxeon,MXA9-PW65-H001,8,997-MXA9-PW65-H001
12,U1-3 U8-16,IC LED DRIVER RGLTR DIM 1A 8SOIC,ON Semi,NCL30160DR2G,,
1,L4,FIXED IND 1UH 1.7A 70 MOHM SMD,Taiyo Yuden,NRS2012T1R0NGJ,,587-3448-1-ND
1,D100,DIODE SCHOTTKY 60V 1A PMDU,Rohm,RB160M-60TR,,RB160M-60CT-ND
1,R21,RES 100K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1003X,,P100KLCT-ND
1,R22,RES 16.2K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1622X,,P16.2KLCT-ND
5,R1-2 R26 R28 R30,RES 1K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1001X,,P1.00KLCT-ND
24,R9-20 R45-47 R49 R51-58,RES NS 0402 SMD,Panasonic - ECG,NA,,NA
2,R24-25,RES 2.7K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ2RKF2701X,,P2.70KLCT-ND
1,R23,RES 49.9K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF4992X,,P49.9KLCT-ND
2,R27 R29,RES 5.1K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF5101X,,P5.10KLCT-ND
12,R4-5 R8 R32 R34 R36-37 R39 R41 R43 R48 R60,RES SMD 59K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF5902V,,P59.0KHCT-ND
12,R3 R6-7 R31 R33 R35 R38 R40 R42 R44 R50 R59,RES 0.5 OHM 1% 1/3W 0805,Susumu,RL1220S-R50-F,,
1,Q1,MOSFET DUAL N-CH 60V 8-SOIC,Vishay Siliconix,SI7960DP-T1-E3,,SI7960DP-T1-E3CT-ND
1,D30,DIODE ARRAY SCHOTTKY 30V DPAK,STMicroelectronics,STPS15L30CB-TR,,
9,TP1-9,,,,,
12,L1-3 L5-13,FIXED IND 100UH 900MA 611 MOHM,TDK,VLS6045EX-101M,,
