QTY,REF-DES,Description,MFR:,MFR_PN:,LED Group,Vendor,Vendor_PN:
20,RL0012 J1-2 J4-5,CONN SSL RECEPTACLE 1POS SOLDER,Molex,1041880110,,Digi-Key,WM10424CT-ND
5,RL0012 J3,IDC BOX HEADER 0.050 10 POS,CNC Tech,3220-10-0300-00,,Digi-Key,1175-1629-ND
5,RL0012 X1,CRYSTAL 16.0000MHZ 10PF SMD,Abracon,ABM8G-16.000MHZ-4Y-T3,,Digi-Key,535-10907-1-ND
60,RL0012 D62 D73 D84 D136 D141 D148 D159-160 D175 D216 D229 D244,DIODE SCHOTTKY 60V 3A SMA,Diodes Inc.,B360A-13-F,,Digi-Key,B360A-FDICT-ND
100,RL0012 C13 C17-19,CAP CER 0.1UF 50V 10% X5R 0402,Murata,GRM155R61H104KE14D,,Digi-Key,490-10697-1-ND
100,RL0012 C12,CAP CER 10000PF 25V 10% X7R 0402,Murata,GRM155R71E103KA01D,,Digi-Key,490-1312-1-ND
100,RL0012 C20-21,CAP CER 10PF 50V 5% 0402,Murata,GRM1555C1H100JA01D,,Digi-Key,490-5921-1-ND
100,RL0012 C16 C22,CAP CER 1UF 6.3V X7R 0402,Murata,GRM155R70J105KA12D,,Digi-Key,490-10024-1-ND
100,RL0012 C5 C7 C9 C23 C25 C27 C29 C31 C33 C35 C37 C39,CAP CER 2.2UF 10V 10% X5R 0603,Murata,GRM188R61A225KE34D,,Digi-Key,490-1545-1-ND
100,RL0012 C6 C8 C10 C24 C26 C28 C30 C32 C34 C36 C38 C40,CAP CER 0.1UF 50V 10% X7R 0805,Murata,GRM21BR71H104KA01L,,Digi-Key,490-1666-1-ND
100,RL0012 C14-15,CAP CER 10UF 25V 10% X5R 0805,Murata,GRM21BR61E106KA73L,,Digi-Key,490-5523-1-ND
100,RL0012 C1-4,CAP CER 22UF 25V 20% X5R 0805,Murata,GRM21BR61E226ME44L,,Digi-Key,490-10749-1-ND
10,RL0012 C11,CAP CER 10UF 35V 10% X5R 1206,Murata,GRM31CR6YA106KA12L,,Digi-Key,490-5524-1-ND
10,RL0012 FB1,FERRITE BEAD 470 OHM 0603 1LN,Murata,BLM18KG471SN1D,,Digi-Key,490-5257-1-ND
5,RL0012 U6,IC RCVR ESD RS485/422 LP SOT23-6,Intersil,ISL3283EIHZ-T,,Digi-Key,ISL3283EIHZ-TCT-ND
5,RL0012 U5,SENSOR TEMP I2C/SMBUS 8DFN,Microchip,MCP9808T-E/MC,,Digi-Key,MCP9808T-E/MCCT-ND
5,RL0012 U7,IC MCU 32BIT 64KB FLASH 32QFN,NXP,MKV11Z64VFM7,,Digi-Key,568-13578-ND
70,RL0012 U1-3 U8-16,IC LED DRIVER RGLTR DIM 1A 8SOIC,ON Semi,NCL30160DR2G,,Digi-Key,NCL30160DR2GOSCT-ND
5,RL0012 L4,FIXED IND 1UH 1.7A 70 MOHM SMD,Taiyo Yuden,NRS2012T1R0NGJ,,Digi-Key,587-3448-1-ND
10,RL0012 D98 D103,DIODE SCHOTTKY 60V 1A PMDU,Rohm,RB160M-60TR,,Digi-Key,RB160M-60CT-ND
100,RL0012 R1 R22,RES 499 OHM 1% 1/2W 1206,Stackpole Electronics Inc.,RNCP1206FTD499R,,Digi-Key,RNCP1206FTD499RCT-ND
100,RL0012 R2 R21 R23 R32-39 R53 R72,RES 100K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1003X,,Digi-Key,P100KLCT-ND
100,RL0012 R24,RES 16.2K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1622X,,Digi-Key,P16.2KLCT-ND
100,RL0012 R28 R30 R42,RES 1K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF1001X,,Digi-Key,P1.00KLCT-ND
100,RL0012 R10 R12 R14 R16 R18 R20 R56 R58 R62 R64 R66 R68,RES NS 0402 SMD,Panasonic - ECG,NA,,Digi-Key,NA
100,RL0012 R26-27,RES 2.7K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ2RKF2701X,,Digi-Key,P2.70KLCT-ND
100,RL0012 R25,RES 49.9K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF4992X,,Digi-Key,P49.9KLCT-ND
100,RL0012 R29 R31,RES 5.1K OHM 1/10W 1% 0402 SMD,Panasonic - ECG,ERJ-2RKF5101X,,Digi-Key,P5.10KLCT-ND
100,RL0012 R4-5 R8 R41 R44 R46-47 R49 R51 R54 R59 R71,RES SMD 59K OHM 1% 1/10W 0603,Panasonic,ERJ-3EKF5902V,,Digi-Key,P59.0KHCT-ND
100,RL0012 R3 R6-7 R40 R43 R45 R48 R50 R52 R55 R61 R70,RES 0.5 OHM 1% 1/3W 0805,Susumu,RL1220S-R50-F,,Digi-Key,RL12S.50FCT-ND
30,RL0012 D22-23 D31 D33 D46,DIODE SCHOTTKY 45V 15A DO214AB,Micro Commercial Co,SK1545-TP,,Digi-Key,SK1545-TPCT-ND
60,RL0012 L1-3 L5-13,FIXED IND 100UH 900MA 611 MOHM,TDK,VLS6045EX-101M,,Digi-Key,445-173040-1-ND
100,RL0012 R9 R11 R13 R15 R17 R19 R57 R60 R63 R65 R67 R69,RES SMD 0 OHM JUMPER 1/10W 0402,Panasonic,ERJ-2GE0R00X,,Digi-Key,P0.0JCT-ND
